SC,RC,RN,year,rainfall
35,22,New Mexico Not In Basin,2074,0
35,22,New Mexico Not In Basin,2075,0
35,22,New Mexico Not In Basin,2076,0
35,22,New Mexico Not In Basin,2077,0
35,22,New Mexico Not In Basin,2078,0
35,22,New Mexico Not In Basin,2079,0
35,22,New Mexico Not In Basin,2080,0
35,25,New Mexico Gila,2020,256
35,25,New Mexico Gila,2021,234
35,25,New Mexico Gila,2022,98
35,25,New Mexico Gila,2023,141
35,25,New Mexico Gila,2024,349
35,25,New Mexico Gila,2025,95
35,25,New Mexico Gila,2026,195
35,25,New Mexico Gila,2027,101
35,25,New Mexico Gila,2028,142
35,25,New Mexico Gila,2029,96
35,25,New Mexico Gila,2030,106
35,25,New Mexico Gila,2031,65
35,25,New Mexico Gila,2032,231
35,25,New Mexico Gila,2033,175
35,25,New Mexico Gila,2034,109
35,25,New Mexico Gila,2035,248
35,25,New Mexico Gila,2036,258
35,25,New Mexico Gila,2037,228
35,25,New Mexico Gila,2038,68
35,25,New Mexico Gila,2039,81
35,25,New Mexico Gila,2040,192
35,25,New Mexico Gila,2041,164
35,25,New Mexico Gila,2042,101
35,25,New Mexico Gila,2043,474
35,25,New Mexico Gila,2044,239
35,25,New Mexico Gila,2045,187
35,25,New Mexico Gila,2046,164
35,25,New Mexico Gila,2047,83
35,25,New Mexico Gila,2048,138
35,25,New Mexico Gila,2049,227
35,25,New Mexico Gila,2050,222
35,25,New Mexico Gila,2051,271
35,25,New Mexico Gila,2052,149
35,25,New Mexico Gila,2053,253
35,25,New Mexico Gila,2054,142
35,25,New Mexico Gila,2055,181
35,25,New Mexico Gila,2056,256
35,25,New Mexico Gila,2057,153
35,25,New Mexico Gila,2058,499
35,25,New Mexico Gila,2059,143
35,25,New Mexico Gila,2060,253
35,25,New Mexico Gila,2061,309
35,25,New Mexico Gila,2062,217
35,25,New Mexico Gila,2063,284
35,25,New Mexico Gila,2064,158
35,25,New Mexico Gila,2065,292
35,25,New Mexico Gila,2066,141
35,25,New Mexico Gila,2067,122
35,25,New Mexico Gila,2068,210
35,25,New Mexico Gila,2069,53
35,25,New Mexico Gila,2070,221
35,25,New Mexico Gila,2071,83
35,25,New Mexico Gila,2072,266
35,25,New Mexico Gila,2073,152
35,25,New Mexico Gila,2074,126
35,25,New Mexico Gila,2075,242
35,25,New Mexico Gila,2076,112
35,25,New Mexico Gila,2077,513
35,25,New Mexico Gila,2078,243
35,25,New Mexico Gila,2079,106
35,25,New Mexico Gila,2080,474
49,11,Utah Salt Lake,2020,293
49,11,Utah Salt Lake,2021,226
49,11,Utah Salt Lake,2022,88
49,11,Utah Salt Lake,2023,144
49,11,Utah Salt Lake,2024,348
49,11,Utah Salt Lake,2025,85
49,11,Utah Salt Lake,2026,216
49,11,Utah Salt Lake,2027,111
49,11,Utah Salt Lake,2028,185
49,11,Utah Salt Lake,2029,144
49,11,Utah Salt Lake,2030,125
49,11,Utah Salt Lake,2031,63
49,11,Utah Salt Lake,2032,282
49,11,Utah Salt Lake,2033,216
49,11,Utah Salt Lake,2034,161
49,11,Utah Salt Lake,2035,253
49,11,Utah Salt Lake,2036,291
49,11,Utah Salt Lake,2037,239
49,11,Utah Salt Lake,2038,141
49,11,Utah Salt Lake,2039,105
49,11,Utah Salt Lake,2040,279
49,11,Utah Salt Lake,2041,160
49,11,Utah Salt Lake,2042,93
49,11,Utah Salt Lake,2043,492
49,11,Utah Salt Lake,2044,199
49,11,Utah Salt Lake,2045,223
49,11,Utah Salt Lake,2046,211
49,11,Utah Salt Lake,2047,104
49,11,Utah Salt Lake,2048,188
